id,title,content,date,sentiment_label
1,계정 연동 후 접속이 안 됩니다,해상도 옵션을 바꾸면 UI가 틀어져 버튼을 누를 수 없습니다.,2025-10-01 00:02:00,0
2,뉴비 질문 있어요,어제부터 길드 메뉴 구성이 달라진 것 같아 질문드립니다.,2025-10-01 00:14:00,1
3,친구 초대 이벤트 참여 방법 알려주세요,거래 제한 레벨이나 일일 횟수가 정해져 있나요?,2025-10-01 00:28:00,1
4,튜토리얼이 더 친절해졌어요,초보자도 이해하기 쉬워져서 추천하고 싶네요.,2025-10-01 00:40:00,2
5,상점 쿠폰 사용처 문의,어제 올라온 패치 노트를 못 찾겠어요. 주소 알려주세요.,2025-10-01 00:59:00,1
6,던전 입장 티켓이 소모만 되고 입장이 안 돼요,수령 버튼을 눌러도 실패 알림만 나오고 보상은 없습니다.,2025-10-01 01:05:00,0
7,초보가 선택할 직업 추천 부탁합니다,어제부터 길드 메뉴 구성이 달라진 것 같아 질문드립니다.,2025-10-01 01:22:00,1
8,교환소 사용 제한 기준이 뭔가요?,초대 코드 입력 위치와 참여 조건이 어떻게 되나요?,2025-10-01 01:35:00,1
9,[모집] 자유부대 신규 부대원 모집합니다,어제 올라온 패치 노트를 못 찾겠어요. 주소 알려주세요.,2025-10-01 01:51:00,1
10,이벤트 구성 너무 알찹니다,전투가 매끄럽고 로딩도 빨라져 만족합니다.,2025-10-01 01:59:00,2
11,계정 연동 후 접속이 안 됩니다,설치 마치고 실행하면 바로 꺼집니다. 해결 방법이 있을까요?,2025-10-01 02:14:00,0
12,서버 이전 기능 일정 궁금합니다,소통용 공식 서버가 있다면 초대 링크 부탁드려요.,2025-10-01 02:26:00,1
13,컨트롤러 지원하나요?,쿠폰은 메인 메뉴의 설정 > 쿠폰 입력에서 사용할 수 있습니다.,2025-10-01 02:38:00,1
14,설치 후 실행이 안 됩니다,가입 버튼을 눌러도 실패만 뜨고 이유가 표시되지 않습니다.,2025-10-01 02:49:00,0
15,로그인 화면에서 멈춰요,티켓만 소모되고 로딩에서 멈춥니다. 손해 보상 가능한가요?,2025-10-01 03:09:00,0
16,[안내] 주말 경험치 2배 안내,첫 결제/첫 접속 보상 같은 것들 정리해주시면 감사하겠습니다.,2025-10-01 03:20:00,1
17,신규 계정 혜택 정리 부탁드려요,교환은 이벤트 종료 전까지 가능하다고 들었습니다. 맞나요?,2025-10-01 03:28:00,1
18,점검 시간 보통 얼마나 되나요?,규칙 위반 시 제재 기준과 절차를 안내드립니다.,2025-10-01 03:42:00,1
19,컨트롤러 지원하나요?,최근 개발자 노트에 언급된 일정이 정확히 언제인지 궁금합니다.,2025-10-01 03:55:00,1
20,[공지] 커뮤니티 규칙 안내,패드 연결 시 버튼 매핑 지원 여부가 궁금합니다.,2025-10-01 04:09:00,1
21,아이템이 우편함으로 안 들어옵니다,연동 완료했다고 나오지만 다시 로그인하면 오류가 납니다.,2025-10-01 04:22:00,0
22,장비 강화 확률 어떻게 계산되나요?,패드 연결 시 버튼 매핑 지원 여부가 궁금합니다.,2025-10-01 04:39:00,1
23,[안내] 주말 경험치 2배 안내,초반에는 일일 퀘스트로 꾸준히 모으는 게 좋습니다.,2025-10-01 04:49:00,1
24,신규 지역 디자인이 멋집니다,보상 단계가 명확하고 참여 의욕이 생겨요.,2025-10-01 05:04:00,2
25,던전 입장 티켓이 소모만 되고 입장이 안 돼요,레이드 몇 분 지나면 항상 튕깁니다. 파티에 피해가 큽니다.,2025-10-01 05:19:00,0
26,보스전 도중 앱이 종료됩니다,가입 버튼을 눌러도 실패만 뜨고 이유가 표시되지 않습니다.,2025-10-01 05:28:00,0
27,이벤트 보상 교환 기한이 언제까지죠?,패드 연결 시 버튼 매핑 지원 여부가 궁금합니다.,2025-10-01 05:38:00,1
28,이벤트 보상 교환 기한이 언제까지죠?,첫 결제/첫 접속 보상 같은 것들 정리해주시면 감사하겠습니다.,2025-10-01 05:54:00,1
29,보스전 도중 앱이 종료됩니다,카드 결제 시 중간에 멈추고 실패가 반복됩니다. 환불 부탁드립니다.,2025-10-01 06:04:00,0
30,점검 시간 보통 얼마나 되나요?,튜토리얼 이후에는 어디부터 진행하는 게 좋을까요?,2025-10-01 06:20:00,1
31,보스전 도중 앱이 종료됩니다,연동 완료했다고 나오지만 다시 로그인하면 오류가 납니다.,2025-10-01 06:35:00,0
32,업데이트 공지 링크 어디 있나요?,규칙 위반 시 제재 기준과 절차를 안내드립니다.,2025-10-01 06:46:00,1
33,보상 수령이 계속 실패로 뜹니다,전투 시작하면 FPS가 급격히 떨어져서 플레이가 어렵습니다.,2025-10-01 06:59:00,0
34,신규 계정 혜택 정리 부탁드려요,규칙 위반 시 제재 기준과 절차를 안내드립니다.,2025-10-01 07:16:00,1
35,장비 강화 확률 어떻게 계산되나요?,어제부터 길드 메뉴 구성이 달라진 것 같아 질문드립니다.,2025-10-01 07:28:00,1
36,보유 재화가 사라졌습니다,우편 발송 후 상대방이 수신을 못 합니다. 사라진 것 같아요.,2025-10-01 07:36:00,0
37,교환소 사용 제한 기준이 뭔가요?,불법 사용자 신고는 어디에서 진행하면 되나요?,2025-10-01 07:54:00,1
38,던전 입장 티켓이 소모만 되고 입장이 안 돼요,카드 결제 시 중간에 멈추고 실패가 반복됩니다. 환불 부탁드립니다.,2025-10-01 08:01:00,0
39,초보가 선택할 직업 추천 부탁합니다,어제부터 길드 메뉴 구성이 달라진 것 같아 질문드립니다.,2025-10-01 08:20:00,1
40,채팅창이 계속 버그가 납니다,메시지 입력하면 창이 닫혀버리고 기록도 남지 않습니다.,2025-10-01 08:30:00,0
41,서버 이전 기능 일정 궁금합니다,거래 제한 레벨이나 일일 횟수가 정해져 있나요?,2025-10-01 08:47:00,1
42,업데이트 공지 링크 어디 있나요?,불법 사용자 신고는 어디에서 진행하면 되나요?,2025-10-01 08:55:00,1
43,점검 시간 보통 얼마나 되나요?,불법 사용자 신고는 어디에서 진행하면 되나요?,2025-10-01 09:09:00,1
44,결제창 오류로 결제가 안 됩니다,수령 버튼을 눌러도 실패 알림만 나오고 보상은 없습니다.,2025-10-01 09:20:00,0
45,점검 시간 보통 얼마나 되나요?,첫 결제/첫 접속 보상 같은 것들 정리해주시면 감사하겠습니다.,2025-10-01 09:32:00,1
46,교환소 사용 제한 기준이 뭔가요?,규칙 위반 시 제재 기준과 절차를 안내드립니다.,2025-10-01 09:47:00,1
47,채팅창이 계속 버그가 납니다,퀘스트 목표 달성했는데 다음 단계가 열리지 않습니다.,2025-10-01 10:05:00,0
48,친구 목록이 사라졌습니다,퀘스트 목표 달성했는데 다음 단계가 열리지 않습니다.,2025-10-01 10:11:00,0
49,[팁] 초반 재화 모으는 방법,어제 올라온 패치 노트를 못 찾겠어요. 주소 알려주세요.,2025-10-01 10:24:00,1
50,고객센터 응답이 빨라서 좋았습니다,초보자도 이해하기 쉬워져서 추천하고 싶네요.,2025-10-01 10:44:00,2
51,프레임이 심하게 떨어집니다,메시지 입력하면 창이 닫혀버리고 기록도 남지 않습니다.,2025-10-01 10:57:00,0
52,채팅창이 계속 버그가 납니다,카드 결제 시 중간에 멈추고 실패가 반복됩니다. 환불 부탁드립니다.,2025-10-01 11:07:00,0
53,초보가 선택할 직업 추천 부탁합니다,튜토리얼 이후에는 어디부터 진행하는 게 좋을까요?,2025-10-01 11:16:00,1
54,이벤트 보상 교환 기한이 언제까지죠?,규칙 위반 시 제재 기준과 절차를 안내드립니다.,2025-10-01 11:29:00,1
55,결제창 오류로 결제가 안 됩니다,연동 완료했다고 나오지만 다시 로그인하면 오류가 납니다.,2025-10-01 11:44:00,0
56,친구 목록이 사라졌습니다,보스 스킬이 나오면 바로 강제 종료가 됩니다. 진행이 불가능합니다.,2025-10-01 11:56:00,0
57,밸런스 패치 정말 좋았습니다,초보자도 이해하기 쉬워져서 추천하고 싶네요.,2025-10-01 12:09:00,2
58,패치 후 조작이 느려졌어요,레이드 몇 분 지나면 항상 튕깁니다. 파티에 피해가 큽니다.,2025-10-01 12:22:00,0
59,설치 후 실행이 안 됩니다,보스 스킬이 나오면 바로 강제 종료가 됩니다. 진행이 불가능합니다.,2025-10-01 12:34:00,0
60,사운드가 훨씬 풍성해졌네요,음향 효과가 몰입감을 크게 높여줍니다.,2025-10-01 12:53:00,2
61,업데이트 공지 링크 어디 있나요?,공식 확률식이 있으면 링크 부탁드립니다.,2025-10-01 13:05:00,1
62,신규 계정 혜택 정리 부탁드려요,어제 올라온 패치 노트를 못 찾겠어요. 주소 알려주세요.,2025-10-01 13:18:00,1
63,프레임이 심하게 떨어집니다,지역 이동마다 딜레이가 심하고 입력이 늦게 반응합니다.,2025-10-01 13:32:00,0
64,길드 가입이 계속 실패합니다,보스 스킬이 나오면 바로 강제 종료가 됩니다. 진행이 불가능합니다.,2025-10-01 13:46:00,0
65,앱이 자꾸 강제 종료됩니다,설치 마치고 실행하면 바로 꺼집니다. 해결 방법이 있을까요?,2025-10-01 13:52:00,0
66,보스전 도중 앱이 종료됩니다,수령 버튼을 눌러도 실패 알림만 나오고 보상은 없습니다.,2025-10-01 14:06:00,0
67,상점 쿠폰 사용처 문의,어제 올라온 패치 노트를 못 찾겠어요. 주소 알려주세요.,2025-10-01 14:21:00,1
68,우편 발송이 먹통입니다,보스 스킬이 나오면 바로 강제 종료가 됩니다. 진행이 불가능합니다.,2025-10-01 14:33:00,0
69,공식 디스코드가 있나요?,이번 주말 이벤트 일정과 참여 조건을 안내드립니다.,2025-10-01 14:47:00,1
70,앱이 자꾸 강제 종료됩니다,수령 버튼을 눌러도 실패 알림만 나오고 보상은 없습니다.,2025-10-01 14:59:00,0
71,설치 후 실행이 안 됩니다,연동 완료했다고 나오지만 다시 로그인하면 오류가 납니다.,2025-10-01 15:14:00,0
72,보상 수령이 계속 실패로 뜹니다,지역 이동마다 딜레이가 심하고 입력이 늦게 반응합니다.,2025-10-01 15:23:00,0
73,프레임이 심하게 떨어집니다,이벤트 보상이 공지와 다르고 우편함에도 없습니다.,2025-10-01 15:37:00,0
74,던전 입장 티켓이 소모만 되고 입장이 안 돼요,수령 버튼을 눌러도 실패 알림만 나오고 보상은 없습니다.,2025-10-01 15:50:00,0
75,아이템이 우편함으로 안 들어옵니다,지역 이동마다 딜레이가 심하고 입력이 늦게 반응합니다.,2025-10-01 16:04:00,0
76,프레임이 안정되어 만족합니다,직업별 역할이 분명해져 전투가 재밌어졌습니다.,2025-10-01 16:18:00,2
77,이벤트 구성 너무 알찹니다,배경과 몬스터가 살아있는 듯한 느낌입니다.,2025-10-01 16:32:00,2
78,운영진분들 고생 많으세요,전투가 매끄럽고 로딩도 빨라져 만족합니다.,2025-10-01 16:45:00,2
79,고객센터 응답이 빨라서 좋았습니다,이번 패치 정말 잘 됐습니다. 감사드립니다!,2025-10-01 17:00:00,2
80,길드 가입이 계속 실패합니다,전투 시작하면 FPS가 급격히 떨어져서 플레이가 어렵습니다.,2025-10-01 17:07:00,0
81,친구 초대 이벤트 참여 방법 알려주세요,불법 사용자 신고는 어디에서 진행하면 되나요?,2025-10-01 17:24:00,1
82,보상 수령이 계속 실패로 뜹니다,비밀번호 입력 후 아무 반응이 없고 재시도해도 동일합니다.,2025-10-01 17:39:00,0
83,업데이트 이후 플레이가 훨씬 부드러워졌네요,과금/무과금 격차가 줄어든 느낌이에요. 응원합니다.,2025-10-01 17:47:00,2
84,우편 발송이 먹통입니다,패치 이후 캐릭터 이동과 메뉴 반응이 매우 느려졌습니다.,2025-10-01 17:59:00,0
85,보유 재화가 사라졌습니다,전투 시작하면 FPS가 급격히 떨어져서 플레이가 어렵습니다.,2025-10-01 18:14:00,0
86,고객센터 응답이 빨라서 좋았습니다,던전에서도 프레임이 일정하게 유지됩니다. 굿!,2025-10-01 18:25:00,2
87,프레임이 안정되어 만족합니다,직업별 역할이 분명해져 전투가 재밌어졌습니다.,2025-10-01 18:38:00,2
88,길드 시스템 변경된 건가요?,소통용 공식 서버가 있다면 초대 링크 부탁드려요.,2025-10-01 18:54:00,1
89,사운드가 훨씬 풍성해졌네요,과금/무과금 격차가 줄어든 느낌이에요. 응원합니다.,2025-10-01 19:10:00,2
90,친구 초대 이벤트 참여 방법 알려주세요,초대 코드 입력 위치와 참여 조건이 어떻게 되나요?,2025-10-01 19:20:00,1
91,운영진분들 고생 많으세요,과금/무과금 격차가 줄어든 느낌이에요. 응원합니다.,2025-10-01 19:36:00,2
92,교환소 사용 제한 기준이 뭔가요?,첫 결제/첫 접속 보상 같은 것들 정리해주시면 감사하겠습니다.,2025-10-01 19:48:00,1
93,친구 초대 이벤트 참여 방법 알려주세요,어제부터 길드 메뉴 구성이 달라진 것 같아 질문드립니다.,2025-10-01 20:00:00,1
94,뉴비 질문 있어요,규칙 위반 시 제재 기준과 절차를 안내드립니다.,2025-10-01 20:15:00,1
95,채팅창이 계속 버그가 납니다,메인 화면에서도 불쑥 종료됩니다. 재설치해도 동일합니다.,2025-10-01 20:25:00,0
96,[안내] 주말 경험치 2배 안내,첫 결제/첫 접속 보상 같은 것들 정리해주시면 감사하겠습니다.,2025-10-01 20:40:00,1
97,운영진분들 고생 많으세요,직업별 역할이 분명해져 전투가 재밌어졌습니다.,2025-10-01 20:51:00,2
98,초보가 선택할 직업 추천 부탁합니다,어제 올라온 패치 노트를 못 찾겠어요. 주소 알려주세요.,2025-10-01 21:07:00,1
99,업데이트 공지 링크 어디 있나요?,소통용 공식 서버가 있다면 초대 링크 부탁드려요.,2025-10-01 21:15:00,1
100,보상 수령이 계속 실패로 뜹니다,가입 버튼을 눌러도 실패만 뜨고 이유가 표시되지 않습니다.,2025-10-01 21:33:00,0
101,던전 입장 티켓이 소모만 되고 입장이 안 돼요,이벤트 보상이 공지와 다르고 우편함에도 없습니다.,2025-10-01 21:40:00,0
102,사운드가 훨씬 풍성해졌네요,문의 남겼는데 빠르게 해결해주셔서 감사해요.,2025-10-01 21:55:00,2
103,업데이트 이후 플레이가 훨씬 부드러워졌네요,음향 효과가 몰입감을 크게 높여줍니다.,2025-10-01 22:06:00,2
104,우편 발송이 먹통입니다,가입 버튼을 눌러도 실패만 뜨고 이유가 표시되지 않습니다.,2025-10-01 22:25:00,0
105,PC 버전 최소 사양이 궁금합니다,쿠폰은 메인 메뉴의 설정 > 쿠폰 입력에서 사용할 수 있습니다.,2025-10-01 22:38:00,1
106,[팁] 초반 재화 모으는 방법,교환은 이벤트 종료 전까지 가능하다고 들었습니다. 맞나요?,2025-10-01 22:46:00,1
107,아이템이 우편함으로 안 들어옵니다,카드 결제 시 중간에 멈추고 실패가 반복됩니다. 환불 부탁드립니다.,2025-10-01 23:01:00,0
108,[모집] 자유부대 신규 부대원 모집합니다,쿠폰은 메인 메뉴의 설정 > 쿠폰 입력에서 사용할 수 있습니다.,2025-10-01 23:17:00,1
109,프레임이 안정되어 만족합니다,초보자도 이해하기 쉬워져서 추천하고 싶네요.,2025-10-01 23:27:00,2
110,초보가 선택할 직업 추천 부탁합니다,권장 사양과 최소 사양 둘 다 알려주시면 감사하겠습니다.,2025-10-01 23:38:00,1
111,던전 입장 티켓이 소모만 되고 입장이 안 돼요,지역 이동마다 딜레이가 심하고 입력이 늦게 반응합니다.,2025-10-01 23:55:00,0
112,튜토리얼이 더 친절해졌어요,던전에서도 프레임이 일정하게 유지됩니다. 굿!,2025-10-02 00:07:00,2
113,서버 지연이 너무 심합니다,수령 버튼을 눌러도 실패 알림만 나오고 보상은 없습니다.,2025-10-02 00:22:00,0
114,채팅창이 계속 버그가 납니다,어제까지 있던 크리스탈이 오늘 접속하니 일부 사라졌습니다.,2025-10-02 00:31:00,0
115,친구 목록이 사라졌습니다,설치 마치고 실행하면 바로 꺼집니다. 해결 방법이 있을까요?,2025-10-02 00:48:00,0
116,퀘스트 진행이 막혔어요,수령 버튼을 눌러도 실패 알림만 나오고 보상은 없습니다.,2025-10-02 00:59:00,0
117,[안내] 주말 경험치 2배 안내,이번 주말 이벤트 일정과 참여 조건을 안내드립니다.,2025-10-02 01:08:00,1
118,보유 재화가 사라졌습니다,패치 이후 캐릭터 이동과 메뉴 반응이 매우 느려졌습니다.,2025-10-02 01:24:00,0
119,앱이 자꾸 강제 종료됩니다,메인 화면에서도 불쑥 종료됩니다. 재설치해도 동일합니다.,2025-10-02 01:39:00,0
120,장비 강화 확률 어떻게 계산되나요?,쿠폰은 메인 메뉴의 설정 > 쿠폰 입력에서 사용할 수 있습니다.,2025-10-02 01:54:00,1
